Event Name,Status
unc_cha_tor_occupancy.ia_miss_rfo_pref_remote,Successful
unc_cha_tor_occupancy.ia_miss_rfo_remote,Successful
unc_cha_tor_occupancy.ia_miss_ucrdf,Successful
unc_cha_tor_occupancy.ia_miss_wil,Successful
unc_cha_tor_occupancy.ia_rfo,Successful
unc_cha_tor_occupancy.ia_rfo_pref,Successful
unc_cha_tor_occupancy.ia_specitom,Successful
unc_cha_tor_occupancy.ia_wbmtoi,Successful
unc_cha_tor_occupancy.ia_wcil,Successful
unc_cha_tor_occupancy.ia_wcilf,Successful
unc_cha_tor_occupancy.io,Successful
unc_cha_tor_occupancy.io_hit,Successful
unc_cha_tor_occupancy.io_hit_itom,Successful
unc_cha_tor_occupancy.io_hit_pcirdcur,Successful
unc_cha_tor_occupancy.io_hit_rfo,Successful
unc_cha_tor_occupancy.io_miss,Successful
unc_cha_tor_occupancy.io_pcirdcur,Successful
unc_cha_tor_occupancy.io_wbmtoi,Successful
unc_cha_tor_occupancy.irq_non_ia,Successful
unc_cha_tor_occupancy.loc_all,Successful
unc_cha_tor_occupancy.loc_ia,Successful
unc_cha_tor_occupancy.loc_io,Successful
unc_cha_tor_occupancy.local_tgt,Successful
unc_cha_tor_occupancy.match_opc,Successful
unc_cha_tor_occupancy.miss,Successful
unc_cha_tor_occupancy.mmio,Successful
unc_cha_tor_occupancy.pmm,Successful
unc_cha_tor_occupancy.prq,Successful
unc_cha_tor_occupancy.prq_non_iosf,Successful
unc_cha_write_no_credits.mc0,Successful
unc_cha_write_no_credits.mc1,Successful
unc_cha_write_no_credits.mc2,Successful
unc_cha_write_no_credits.mc3,Successful
unc_i_cache_total_occupancy.mem,Successful
unc_i_clockticks,Successful
unc_i_irp_all.evicts,Successful
unc_i_irp_all.inbound_inserts,Successful
unc_i_irp_all.outbound_inserts,Successful
unc_i_misc0.fast_req,Successful
unc_i_transactions.wr_pref,Successful
unc_i_txc_ak_inserts,Successful
unc_i_txc_bl_ncb_inserts,Successful
unc_i_txc_bl_ncb_occupancy,Successful
unc_i_txc_bl_ncs_inserts,Successful
unc_i_txc_bl_ncs_occupancy,Successful
unc_i_txs_data_inserts_ncs,Successful
unc_i_txs_request_occupancy,Successful
unc_m2m_clockticks,Successful
unc_m2m_directory_hit.clean_i,Successful
unc_m2m_directory_hit.dirty_i,Successful
unc_m2m_directory_lookup.any,Successful
unc_m2m_directory_lookup.state_i,Successful
unc_m2m_egress_ordering.iv_snoopgo_up,Successful
unc_m2m_imc_reads.all,Successful
unc_m2m_imc_reads.ch0.to_nm1lm,Successful
unc_m2m_imc_reads.ch1.to_nm1lm,Successful
unc_m2m_imc_reads.normal,Successful
unc_m2m_imc_reads.to_ddr_as_mem,Successful
unc_m2m_imc_reads.to_nm1lm,Successful
unc_m2m_imc_writes.all,Successful
unc_m2m_imc_writes.full,Successful
unc_m2m_imc_writes.to_ddr_as_mem,Successful
unc_m2m_rxc_ad_inserts,Successful
unc_m2m_rxc_ad_occupancy,Successful
unc_m2m_tgr_bl_credits,Successful
unc_m2m_tracker_inserts.ch0,Successful
unc_m2m_tracker_inserts.ch1,Successful
unc_m2m_tracker_occupancy.ch0,Successful
unc_m2m_tracker_occupancy.ch1,Successful
unc_m2m_wpq_no_reg_crd.chn0,Successful
unc_m2m_wpq_no_reg_crd.chn1,Successful
unc_m2m_wpq_no_spec_crd.chn0,Successful
unc_m2m_wpq_no_spec_crd.chn1,Successful
unc_m2m_wr_tracker_inserts.ch0,Successful
unc_m2m_wr_tracker_inserts.ch1,Successful
unc_m2m_wr_tracker_ne.ch0,Successful
unc_m2m_wr_tracker_ne.ch1,Successful
unc_m2m_wr_tracker_posted_inserts.ch0,Successful
unc_m2m_wr_tracker_posted_inserts.ch1,Successful
unc_m2m_wr_tracker_posted_occupancy.ch0,Successful
unc_m2m_wr_tracker_posted_occupancy.ch1,Successful
unc_m3upi_cha_ad_credits_empty.vna,Successful
unc_m3upi_clockticks,Successful
unc_m3upi_cms_clockticks,Successful
unc_m3upi_rxc_crd_misc.any_bgf_path,Successful
unc_m3upi_rxc_crd_occ.flits_in_path,Successful
unc_m3upi_rxc_vna_crd.lt1,Successful
unc_m3upi_rxc_vna_crd.lt10,Successful
unc_m3upi_rxc_vna_crd.lt4,Successful
unc_m3upi_rxc_vna_crd.lt5,Successful
unc_m3upi_upi_peer_ad_credits_empty.vna,Successful
unc_m3upi_upi_peer_bl_credits_empty.vna,Successful
unc_m3upi_vn0_no_credits.ncb,Successful
unc_m3upi_vn0_no_credits.ncs,Successful
unc_m3upi_vn0_no_credits.req,Successful
unc_m3upi_vn0_no_credits.rsp,Successful
unc_m3upi_vn0_no_credits.snp,Successful
unc_m3upi_vn0_no_credits.wb,Successful
unc_m3upi_vn1_no_credits.ncb,Successful
unc_m3upi_vn1_no_credits.ncs,Successful
unc_m3upi_vn1_no_credits.req,Successful
unc_m3upi_vn1_no_credits.rsp,Successful
unc_m3upi_vn1_no_credits.snp,Successful
unc_m3upi_vn1_no_credits.wb,Successful
unc_mdf_crs_txr_inserts.ad_bnc,Successful
unc_mdf_crs_txr_inserts.ad_crd,Successful
unc_mdf_crs_txr_inserts.akc,Successful
unc_mdf_crs_txr_inserts.bl_bnc,Successful
unc_mdf_crs_txr_inserts.bl_crd,Successful
unc_mdf_crs_txr_inserts.iv,Successful
unc_mdf_fast_asserted.ad_bnc,Successful
unc_mdf_fast_asserted.bl_crd,Successful
unc_upi_clockticks,Successful
unc_upi_l1_power_cycles,Successful
unc_upi_phy_init_cycles,Successful
unc_upi_txl0p_clk_active.cfg_ctl,Successful
unc_upi_txl0p_clk_active.dfx,Successful
unc_upi_txl0p_clk_active.retry,Successful
unc_upi_txl0p_clk_active.txq,Successful
unc_upi_vna_credit_return_occupancy,Successful
unc_iio_clockticks,Successful
unc_iio_data_req_by_cpu.mem_write.all_parts,Successful
unc_iio_data_req_by_cpu.mem_write.iommu0,Successful
unc_iio_data_req_by_cpu.mem_write.part0,Successful
unc_iio_data_req_of_cpu.mem_write.all_parts,Successful
unc_iio_inbound_arb_req.final_rd_wr,Successful
unc_iio_iommu0.ctxt_cache_hits,Successful
unc_iio_iommu0.first_lookups,Successful
unc_iio_iommu1.num_mem_accesses,Successful
unc_iio_mask_match_and.bus0,Successful
unc_iio_mask_match_and.bus0_bus1,Successful
unc_iio_mask_match_and.bus1,Successful
unc_iio_mask_match_or.not_bus0_not_bus1,Successful
unc_iio_num_req_of_cpu_by_tgt.mem,Successful
unc_iio_outbound_cl_reqs_issued.to_io,Successful
unc_iio_txn_req_of_cpu.mem_write.part0,Successful
unc_iio_bandwidth_in.part0_freerun,Successful
unc_iio_bandwidth_out.part0_freerun,Successful
unc_iio_clockticks_freerun,Successful
unc_m2p_clockticks,Successful
unc_m2p_cms_clockticks,Successful
unc_m2p_egress_ordering.iv_snoopgo_up,Successful
unc_m2p_iio_credits_acquired.ncb_0,Successful
unc_m2p_iio_credits_acquired.ncs_0,Successful
unc_m2p_iio_credits_used.ncb_0,Successful
unc_m2p_iio_credits_used.ncs_0,Successful
unc_m2p_rxc_cycles_ne.all,Successful
unc_m2p_rxc_cycles_ne.cha_ncb,Successful
unc_m2p_rxc_cycles_ne.cha_ncs,Successful
unc_m2p_rxc_inserts.all,Successful
unc_m2p_rxc_inserts.cha_ncb,Successful
unc_m2p_rxc_inserts.cha_ncs,Successful
unc_m_act_count.all,Successful
unc_m_cas_count.all,Successful
unc_m_cas_count.rd,Successful
unc_m_cas_count.rd_pre_reg,Successful
unc_m_cas_count.rd_pre_underfill,Successful
unc_m_cas_count.wr,Successful
unc_m_cas_count.wr_pre,Successful
unc_m_cas_issued_req_len.rd_64b,Successful
unc_m_cas_issued_req_len.rd_ufill_64b,Successful
unc_m_cas_issued_req_len.wr_64b,Successful
unc_m_clockticks,Successful
unc_m_dram_pre_all,Successful
unc_m_hclockticks,Successful
unc_m_power_cke_cycles.low_3,Successful
unc_m_pre_count.all,Successful
unc_m_pre_count.rd,Successful
unc_m_pre_count.rd_pch0,Successful
unc_m_pre_count.rd_pch1,Successful
unc_m_pre_count.wr,Successful
unc_m_pre_count.wr_pch0,Successful
unc_m_pre_count.wr_pch1,Successful
unc_m_rdb_full,Successful
unc_m_rdb_inserts,Successful
unc_m_rdb_inserts.pch0,Successful
unc_m_rdb_inserts.pch1,Successful
unc_m_rdb_ne,Successful
