Event Name,Status
frontend_retired.dsb_miss,Not supported
frontend_retired.itlb_miss,Not supported
frontend_retired.l1i_miss,Not supported
frontend_retired.l2_miss,Not supported
frontend_retired.latency_ge_1,Not supported
frontend_retired.latency_ge_128,Not supported
frontend_retired.latency_ge_16,Not supported
frontend_retired.latency_ge_2,Not supported
frontend_retired.latency_ge_256,Not supported
frontend_retired.latency_ge_2_bubbles_ge_1,Not supported
frontend_retired.latency_ge_32,Not supported
frontend_retired.latency_ge_4,Not supported
frontend_retired.latency_ge_512,Not supported
frontend_retired.latency_ge_64,Not supported
frontend_retired.latency_ge_8,Not supported
frontend_retired.ms_flows,Not supported
frontend_retired.stlb_miss,Not supported
frontend_retired.unknown_branch,Not supported
mem_trans_retired.load_latency_gt_1024,Not supported
mem_trans_retired.load_latency_gt_128,Not supported
mem_trans_retired.load_latency_gt_16,Not supported
mem_trans_retired.load_latency_gt_256,Not supported
mem_trans_retired.load_latency_gt_32,Not supported
mem_trans_retired.load_latency_gt_4,Not supported
mem_trans_retired.load_latency_gt_512,Not supported
mem_trans_retired.load_latency_gt_64,Not supported
mem_trans_retired.load_latency_gt_8,Not supported
ocr.demand_code_rd.l3_miss,Not supported
ocr.demand_data_rd.l3_miss,Not supported
ocr.demand_rfo.l3_miss,Not supported
ocr.hwpf_l3.l3_miss,Not supported
ocr.hwpf_l3.l3_miss_local,Not supported
ocr.reads_to_core.l3_miss,Not supported
ocr.reads_to_core.l3_miss_local,Not supported
ocr.reads_to_core.l3_miss_local_socket,Not supported
ocr.streaming_wr.l3_miss,Not supported
ocr.streaming_wr.l3_miss_local,Not supported
ocr.demand_code_rd.any_response,Not supported
ocr.demand_code_rd.dram,Not supported
ocr.demand_code_rd.local_dram,Not supported
ocr.demand_code_rd.snc_dram,Not supported
ocr.demand_data_rd.any_response,Not supported
ocr.demand_data_rd.dram,Not supported
ocr.demand_data_rd.local_dram,Not supported
ocr.demand_data_rd.remote_dram,Not supported
ocr.demand_data_rd.snc_dram,Not supported
ocr.demand_rfo.any_response,Not supported
ocr.demand_rfo.dram,Not supported
ocr.demand_rfo.local_dram,Not supported
ocr.demand_rfo.snc_dram,Not supported
ocr.hwpf_l1d.any_response,Not supported
ocr.hwpf_l2.any_response,Not supported
ocr.hwpf_l3.any_response,Not supported
ocr.hwpf_l3.remote,Not supported
ocr.modified_write.any_response,Not supported
ocr.reads_to_core.any_response,Not supported
ocr.reads_to_core.dram,Not supported
ocr.reads_to_core.local_dram,Not supported
ocr.reads_to_core.local_socket_dram,Not supported
ocr.reads_to_core.remote,Not supported
ocr.reads_to_core.remote_dram,Not supported
ocr.reads_to_core.remote_memory,Not supported
ocr.reads_to_core.snc_dram,Not supported
ocr.streaming_wr.any_response,Not supported
ocr.write_estimate.memory,Not supported
int_misc.unknown_branch_cycles,Not supported
uops_retired.ms,Not supported
power/energy-psys/,Failed
mem:<addr>[/len][:access],Failed
